"Orden de Satélite","Num OS","Estado","Satélite Procesos","Valor Unitario","Cantidad","Producto","SubTotal","Orden de Produccion","Proveedor","Orden Satélite PDF","Fecha Entrega a Satélite","Fecha Promesa a Molt","Ficha Técnica Producto","Orden de Producción Det","Creado por","Cliente","Id.","Costeo","Costeos Detalles"
"OS-0021792-6639-7-Camibuso Polo Manga Larga",21792,"Creado","Estampado",2400.0,1313,"Camibuso Polo Manga Larga",3151200.0,"OP-TALMA COLOMBIA 0006639","","","20/04/2026","21/04/2026","","6639-7-Camibuso Polo Manga Larga","Cristian Esguerra","TALMA COLOMBIA","83693716","COS-0012699 (Costeo)",""
"OS-0021791-6660-10-CAMISA MANGA CORTA",21791,"En Proceso","Bordado",4100.0,2,"CAMISA MANGA CORTA",8200.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-10-CAMISA MANGA CORTA","Cristian Esguerra","Distribuciones Rio Grande","83690811","COS-0012778 (Costeo)",""
"OS-0021790-6660-7-CAMISA MANGA CORTA",21790,"En Proceso","Bordado",4100.0,8,"CAMISA MANGA CORTA",32800.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-7-CAMISA MANGA CORTA","Cristian Esguerra","Distribuciones Rio Grande","83690781","COS-0012778 (Costeo)",""
"OS-0021789-6660-11-CAMISA MANGA LARGA",21789,"En Proceso","Bordado",5500.0,36,"CAMISA MANGA LARGA",198000.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-11-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83689864","COS-0012778 (Costeo)",""
"OS-0021788-6660-5-CAMISA MANGA LARGA",21788,"En Proceso","Bordado",2600.0,27,"CAMISA MANGA LARGA",70200.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","24/04/2026","","6660-5-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83689788","COS-0012778 (Costeo)",""
"OS-0021787-6660-9-CAMISA MANGA LARGA",21787,"Creado","Bordado",3600.0,47,"CAMISA MANGA LARGA",169200.0,"OP-Distribuciones Rio Grande 0006660","","","20/04/2026","21/04/2026","","6660-9-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83689474","COS-0012778 (Costeo)",""
"OS-0021786-6660-9-CAMISA MANGA LARGA",21786,"En Proceso","Bordado",3600.0,4,"CAMISA MANGA LARGA",14400.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-9-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83689308","COS-0012778 (Costeo)",""
"OS-0021785-6660-4-CAMISA MANGA LARGA",21785,"En Proceso","Bordado",1300.0,10,"CAMISA MANGA LARGA",13000.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-4-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83689256","COS-0012778 (Costeo)",""
"OS-0021784-6660-6-CAMISA MANGA LARGA",21784,"En Proceso","Bordado",3600.0,47,"CAMISA MANGA LARGA",169200.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-6-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83689079","COS-0012778 (Costeo)",""
"OS-0021783-6660-3-CAMISA MANGA LARGA",21783,"En Proceso","Bordado",1300.0,4,"CAMISA MANGA LARGA",5200.0,"OP-Distribuciones Rio Grande 0006660","GRUPO EMPRESARIAL AGROTEX  IN SAS - GERSON","","21/04/2026","23/04/2026","","6660-3-CAMISA MANGA LARGA","Cristian Esguerra","Distribuciones Rio Grande","83686096","COS-0012778 (Costeo)",""
"OS-0021782-6639-24-pantalón  overol",21782,"En Proceso","Estampado",900.0,1540,"pantalón  overol",1386000.0,"OP-TALMA COLOMBIA 0006639","COLOR PRINT SERVICE SAS - NELSON","","16/04/2026","21/04/2026","","6639-24-pantalón  overol","Cristian Esguerra","TALMA COLOMBIA","83682948","COS-0012699 (Costeo)",""
"OS-0021781-6639-10-CAMISA MANGA LARGA",21781,"En Proceso","Estampado",1600.0,50,"CAMISA MANGA LARGA",80000.0,"OP-TALMA COLOMBIA 0006639","DORA NANCY HERRERA MARTINEZ","","20/04/2026","24/04/2026","","6639-10-CAMISA MANGA LARGA","Cristian Esguerra","TALMA COLOMBIA","83678667","COS-0012699 (Costeo)",""
"OS-0021780-6653-12-Camibuso Polo Manga Larga",21780,"Creado","Bordado",1200.0,6,"Camibuso Polo Manga Larga",7200.0,"OP-AECSA 0006653","SEIIBA  SAS","","20/04/2026","21/04/2026","103246 FT. POLO VERDE MANZANA MANGA LARGA AECSA HOMBRE.pdf","6653-12-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83672417","COS-0012765 (Costeo)",""
"OS-0021779-6653-12-Camibuso Polo Manga Larga",21779,"En Proceso","Bordado",1200.0,114,"Camibuso Polo Manga Larga",136800.0,"OP-AECSA 0006653","SEIIBA  SAS","","20/04/2026","22/04/2026","103246 FT. POLO VERDE MANZANA MANGA LARGA AECSA HOMBRE.pdf","6653-12-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83672352","COS-0012765 (Costeo)",""
"OS-0021778-6653-1-Camibuso Polo Manga Larga",21778,"Creado","Bordado",1200.0,6,"Camibuso Polo Manga Larga",7200.0,"OP-AECSA 0006653","SEIIBA  SAS","","20/04/2026","21/04/2026","203190 FT. POLO VERDE MANZANA MANGA LARGA AECSA DAMA.pdf","6653-1-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83672189","COS-0012765 (Costeo)",""
"OS-0021777-6653-1-Camibuso Polo Manga Larga",21777,"En Proceso","Bordado",1200.0,84,"Camibuso Polo Manga Larga",100800.0,"OP-AECSA 0006653","SEIIBA  SAS","","20/04/2026","22/04/2026","203190 FT. POLO VERDE MANZANA MANGA LARGA AECSA DAMA.pdf","6653-1-Camibuso Polo Manga Larga","Cristian Esguerra","AECSA","83672071","COS-0012765 (Costeo)",""
"OS-0021776-6665-1-OVEROL ENTERIZO",21776,"Creado","Confección",20000.0,4,"OVEROL ENTERIZO",80000.0,"OP-Yunex 0006665","YOLENIS MARIA ORTIZ OLIVARES","","21/04/2026","06/05/2026","111043  FT. OVEROL ENTERIZO CON REFLECTIVO Y REFUERZOS YUNEX.pdf","6665-1-OVEROL ENTERIZO","Cristian Esguerra","Yunex","83612366","COS-0012759 (Costeo)",""
"OS-0021775-6665-1-OVEROL ENTERIZO",21775,"En Proceso","Confección",20000.0,47,"OVEROL ENTERIZO",940000.0,"OP-Yunex 0006665","YOLENIS MARIA ORTIZ OLIVARES","","21/04/2026","06/05/2026","111043  FT. OVEROL ENTERIZO CON REFLECTIVO Y REFUERZOS YUNEX.pdf","6665-1-OVEROL ENTERIZO","Cristian Esguerra","Yunex","83612192","COS-0012759 (Costeo)",""
"OS-0021774-6639-11-POLO MANGA CORTA",21774,"En Proceso","Confección",5000.0,6,"POLO MANGA CORTA",30000.0,"OP-TALMA COLOMBIA 0006639","WILLIAM  ROJAS LARA (LILIANA NEVA )","","20/04/2026","24/04/2026","103114 FT. POLO MANGA CORTA GRIS JASPE TALMA HOMBRE (1).pdf","6639-11-POLO MANGA CORTA","Cristian Esguerra","TALMA COLOMBIA","83611449","COS-0012699 (Costeo)",""
"OS-0021773-6658-3-OVEROL DOS PIEZAS",21773,"En Proceso","Confección",14000.0,10,"OVEROL DOS PIEZAS",140000.0,"OP-Clínica  Palermo 0006658","YOLENIS MARIA ORTIZ OLIVARES","","20/04/2026","24/04/2026","111047 FT. CAMISA OVEROL DOS PIEZAS MANTENIMIENTO CLINICA PALERMO (1).pdf","6658-3-OVEROL DOS PIEZAS","Cristian Esguerra","Clínica  Palermo","83610902","COS-0012770 (Costeo)",""
"OS-0021772-6658-20-CAMISA MANGA LARGA",21772,"En Proceso","Confección",13500.0,3,"CAMISA MANGA LARGA",40500.0,"OP-Clínica  Palermo 0006658","OLGA LUCIA GARCIA LOPEZ","","20/04/2026","29/04/2026","UNIFORME FORMAL ATENCIÓN AL USUARIO HOMBRE.pdf","6658-20-CAMISA MANGA LARGA","Cristian Esguerra","Clínica  Palermo","83610636","COS-0012770 (Costeo)",""
"OS-0021771-6658-17-CAMISA MANGA LARGA",21771,"En Proceso","Confección",14000.0,12,"CAMISA MANGA LARGA",168000.0,"OP-Clínica  Palermo 0006658","OLGA LUCIA GARCIA LOPEZ","","20/04/2026","29/04/2026","UNIFORME FORMAL ATENCIÓN AL USUARIO DAMA.pdf","6658-17-CAMISA MANGA LARGA","Cristian Esguerra","Clínica  Palermo","83610471","COS-0012770 (Costeo)",""
"OS-0021770-6658-6-CAMISA MANGA LARGA",21770,"En Proceso","Confección",14000.0,3,"CAMISA MANGA LARGA",42000.0,"OP-Clínica  Palermo 0006658","OLGA LUCIA GARCIA LOPEZ","","20/04/2026","29/04/2026","202254 FT. BLUSA BLANCA MANGA TRES CUARTOS ROOM SERV CLINICA PALERMO.pdf","6658-6-CAMISA MANGA LARGA","Cristian Esguerra","Clínica  Palermo","83610372","COS-0012770 (Costeo)",""
"OS-0021769-6692-1-CAMISA MANGA LARGA",21769,"En Proceso","Corte y Confeccion",12000.0,206,"CAMISA MANGA LARGA",2472000.0,"OP-CLARO COLOMBIA 0006692","SARA RINCON CASTAÑEDA","","20/04/2026","04/05/2026","202121 FT. BLUSA BLANCO MANGA LARGA CAVS CLARO DAMA.pdf","6692-1-CAMISA MANGA LARGA","Cristian Esguerra","CLARO COLOMBIA","83609695","COS-0012869 (Costeo)",""
"OS-0021768-6658-25-BLAZER SASTRE",21768,"En Proceso","Bordado",2300.0,6,"BLAZER SASTRE",13800.0,"OP-Clínica  Palermo 0006658","SEIIBA  SAS","","20/04/2026","22/04/2026","","6658-25-BLAZER SASTRE","Cristian Esguerra","Clínica  Palermo","83608290","COS-0012770 (Costeo)",""
"OS-0021767-6658-19-BLAZER SASTRE",21767,"En Proceso","Bordado",2300.0,8,"BLAZER SASTRE",18400.0,"OP-Clínica  Palermo 0006658","SEIIBA  SAS","","20/04/2026","22/04/2026","","6658-19-BLAZER SASTRE","Cristian Esguerra","Clínica  Palermo","83607098","COS-0012770 (Costeo)",""
"OS-0021766-6658-8-chaleco sastre",21766,"En Proceso","Bordado",2300.0,2,"chaleco sastre",4600.0,"OP-Clínica  Palermo 0006658","SEIIBA  SAS","","20/04/2026","22/04/2026","","6658-8-chaleco sastre","Cristian Esguerra","Clínica  Palermo","83606571","COS-0012770 (Costeo)",""
"OS-0021765-6665-7-gorro escafandra",21765,"En Proceso","Confección",3500.0,150,"gorro escafandra gorro escafandra",525000.0,"OP-Yunex 0006665","CLAUDIA PATRICIA MORENO BENITEZ","","20/04/2026","30/04/2026","103293 FT. POLO MANGA LARGA GRIS YUNEX (1).pdf","6665-7-gorro escafandra","Cristian Esguerra","Yunex","83564078","COS-0012759 (Costeo)",""
"OS-0021764-6681-1-PANTALÓN TIPO CALLE CABALLERO",21764,"Creado","Confección",11000.0,1425,"PANTALÓN TIPO CALLE CABALLERO",1.5675E7,"OP-Asitex 0006681","","","17/04/2026","18/04/2026","108158 FT. PANTALON CABALLERO CLASICO TIPO CALLE DRIL ASITEX.pdf","6681-1-PANTALÓN TIPO CALLE CABALLERO","Cristian Esguerra","Asitex","83563544","COS-0012842 (Costeo)",""
"OS-0021763-6639-7-Camibuso Polo Manga Larga",21763,"Creado","Sublimación",5000.0,3580,"Camibuso Polo Manga Larga",1.79E7,"OP-TALMA COLOMBIA 0006639","","","17/04/2026","18/04/2026","","6639-7-Camibuso Polo Manga Larga","Cristian Esguerra","TALMA COLOMBIA","83563290","COS-0012699 (Costeo)",""
"OS-0021762-6639-7-Camibuso Polo Manga Larga",21762,"En Proceso","Sublimación",5000.0,220,"Camibuso Polo Manga Larga",1100000.0,"OP-TALMA COLOMBIA 0006639","MOLT","","17/04/2026","21/04/2026","","6639-7-Camibuso Polo Manga Larga","Cristian Esguerra","TALMA COLOMBIA","83563246","COS-0012699 (Costeo)",""
"OS-0021761-6648-3-CHAQUETA SPORT",21761,"En Proceso","Confección",15000.0,226,"CHAQUETA SPORT",3390000.0,"OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648","ANDERSON LEONARDO MURCIA  BONILLA","","20/04/2026","04/05/2026","","6648-3-CHAQUETA SPORT","Cristian Esguerra","BANCO DE LA REPUBLICA - NIT 860.005.216-7","83562604","COS-0012742 (Costeo)",""
"OS-0021760-6639-15-Chaqueta  Acolchada",21760,"Creado","Confección",18000.0,870,"Chaqueta  Acolchada",1.566E7,"OP-TALMA COLOMBIA 0006639","JAINER  ESTEVAN RIAÑO REMIGIO","","17/04/2026","18/04/2026","","6639-15-Chaqueta  Acolchada","Cristian Esguerra","TALMA COLOMBIA","83562188","COS-0012699 (Costeo)",""
